Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Jannik Vestergaard,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Matthew Vigor,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Matías Viña,Defender,12,2,,0,1,1,,,,,,0,,0,145,12.08,0,4,0%,0,4,1,0,7,0,19,58%,1,4,17,7,28,44,46,10,4,7,0,,,,,,,,,1,10,0,0,0
Radek Vítek,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Nikola Vlasic,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jake Vokins,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Jack Wadham,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ethan Wady,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Theo Walcott,Forward,20,2,0.10,0,1,1,0,0,20,8,40%,1,3,2,240,12.00,3,21,,,,1,0,7,15,13,,5,9,7,5,,,,,,,,,,,,,,,,,,,,
Kyle Walker,Defender,27,0,,0,0,0,,,,,,0,,0,"1,729",64.04,0,28,14%,4,71,3,0,15,0,13,69%,0,18,22,11,124,59,54,13,23,11,0,,,,,,,,,6,20,0,0,0
Kyle Walker-Peters,Defender,31,1,,0,1,0,,,,,,1,,0,"1,015",32.74,2,50,22%,1,25,4,0,25,1,61,52%,3,27,41,19,156,168,154,50,16,28,0,,,,,,,,,2,58,0,1,1
Reuell Walters,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Christian Walton,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Aaron Wan-Bissaka,Defender,19,0,,0,0,0,,,,,,0,,0,705,37.11,1,14,21%,2,17,2,0,11,0,40,63%,7,22,35,18,73,72,58,17,13,17,0,,,,,,,,,7,10,0,1,0
Wanya Marçal,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joel Ward,Defender,28,1,,0,0,1,,,,,,0,,0,"1,002",35.79,0,36,22%,0,36,6,0,29,0,50,72%,5,25,77,45,116,126,90,7,58,39,0,,,,,,,,,7,35,0,0,0
James Ward-Prowse,Midfielder,38,9,0.24,1,8,0,2,3,44,20,45%,2,2,4,"1,920",50.53,9,241,29%,2,66,6,0,34,0,65,57%,11,55,45,18,222,135,159,7,44,52,0,,,,,,,,,,,,,
Lewis Warrington,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ollie Watkins,Forward,37,15,0.41,3,9,3,1,0,86,47,55%,5,20,6,551,14.89,4,9,,,,4,0,26,18,19,,16,10,39,33,,,,,,,,,,,,,,,,,,,,
Noah Watson,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Kelland Watts,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Adam Webster,Defender,27,0,,0,0,0,,,,,,0,,0,"1,676",62.07,1,2,50%,0,83,2,0,10,1,22,55%,2,19,51,28,143,91,54,3,60,27,1,,,,,,,,,8,27,1,1,0
Wout Weghorst,Forward,17,0,0.00,0,0,0,0,0,14,5,36%,0,3,1,207,12.18,1,0,,,,1,0,14,5,11,,3,7,9,7,,,,,,,,,,,,,,,,,,,,
Jensen Weir,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Danny Welbeck,Forward,31,6,0.19,3,2,1,0,0,62,23,37%,1,10,3,439,14.16,8,0,,,,0,0,25,5,15,,13,5,20,13,,,,,,,,,,,,,,,,,,,,
Reece Welch,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Charlie Wellens,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jack Wells-Morrison,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Timo Werner,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Wesley,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Charlie Whitaker,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ben White,Defender,38,2,,0,2,0,,,,,,0,,5,"1,951",51.34,6,57,26%,6,58,5,0,28,1,60,52%,2,22,75,47,155,131,119,8,33,41,0,,,,,,,,,9,35,0,0,0
Alfie Whiteman,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Joe Whitworth,Goalkeeper,2,0,,,,,,,,,,,,0,75,37.50,,,,,13,0,0,0,,,,,,,,,,,,,,0,5,0,0,1,0,1,8,15,0,5,0,,
George Wickens,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Dylan Williams,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Willian,Forward,27,5,0.19,0,3,2,0,1,41,18,44%,2,2,5,846,31.33,8,60,,,,2,0,11,4,13,,13,9,8,7,,,,,,,,,,,,,,,,,,,,
Joe Willock,Midfielder,35,3,0.09,1,2,0,0,0,58,17,29%,0,8,6,888,25.37,12,51,25%,4,35,1,0,35,3,51,59%,21,25,15,5,136,127,154,37,16,16,0,,,,,,,,,,,,,
Keehan Willows,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Harry Wilson,Midfielder,29,2,0.07,0,0,2,0,0,18,4,22%,1,1,3,376,12.97,2,22,14%,1,22,1,0,11,2,21,62%,6,6,12,7,54,69,60,12,4,12,0,,,,,,,,,,,,,
Thomas Wilson-Brown,Defender,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Josh Wilson-Esbrand,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Harry Winks,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yoane Wissa,Midfielder,38,7,0.18,3,3,1,0,0,32,15,47%,1,3,3,327,8.61,3,12,0%,4,9,3,0,21,19,17,71%,3,6,14,6,69,87,93,20,24,26,0,,,,,,,,,,,,,
Maximilian Wöber,Defender,16,0,,0,0,0,,,,,,0,,0,644,40.25,1,7,29%,0,41,3,0,15,1,25,72%,4,27,64,28,75,53,47,0,27,22,0,,,,,,,,,2,23,0,0,2
Max Woltman,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Chris Wood,Forward,25,3,0.12,0,2,1,1,0,12,5,42%,0,3,0,176,7.04,0,0,,,,0,0,6,6,5,,3,2,9,5,,,,,,,,,,,,,,,,,,,,
Ben Woodburn,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Freddie Woodman,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Joe Wormleighton,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Joe Worrall,Defender,30,1,,1,0,0,,,,,,0,,0,"1,091",36.37,1,4,0%,0,85,6,0,27,0,53,47%,0,26,108,53,123,115,75,3,55,33,0,,,,,,,,,5,44,0,1,2
James Wright,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Xande Silva,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Granit Xhaka,Midfielder,37,7,0.19,2,1,4,0,0,40,14,35%,1,3,7,"1,571",42.46,6,39,13%,6,69,5,0,26,5,34,79%,14,15,41,19,152,126,113,16,37,30,0,,,,,,,,,,,,,
Yan Couto,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Andrii Yarmolenko,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Yehor Yarmoliuk,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Yegor Yarmolyuk,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ryan Yates,Midfielder,26,0,0.00,0,0,0,0,0,26,5,19%,0,1,2,577,22.19,2,8,13%,0,25,5,0,50,1,38,50%,7,10,44,27,111,125,94,5,31,21,0,,,,,,,,,,,,,
Ashley Young,Defender,29,1,,0,1,0,,,,,,0,,0,966,33.31,1,42,19%,2,55,7,0,24,1,50,54%,7,21,60,34,131,99,61,8,14,11,0,,,,,,,,,8,28,0,0,1
Nathan Young-Coombes,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Illia Zabarnyi,Defender,5,0,,0,0,0,,,,,,0,,0,199,39.80,0,0,0%,0,9,0,0,1,0,4,50%,0,3,14,7,18,8,10,1,1,3,0,,,,,,,,,0,5,0,0,0
Wilfried Zaha,Forward,27,7,0.26,0,5,2,0,0,66,22,33%,3,6,2,604,22.37,3,39,,,,5,0,35,14,32,,26,16,6,1,,,,,,,,,,,,,,,,,,,,
Denis Zakaria,Midfielder,7,0,0.00,0,0,0,0,0,2,0,0%,0,0,0,178,25.43,0,1,0%,1,3,0,0,5,0,9,56%,1,3,8,1,21,17,25,6,0,2,0,,,,,,,,,,,,,
Jan Zamburek,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Zanka,Defender,18,0,,0,0,0,,,,,,0,,0,444,24.67,0,3,0%,0,13,2,0,9,2,17,47%,1,16,39,25,53,38,38,0,17,15,0,,,,,,,,,4,15,1,0,0
Jordan Zemura,Defender,19,0,,0,0,0,,,,,,0,,1,457,24.05,3,18,33%,0,11,1,0,17,0,39,62%,1,16,26,12,78,81,79,21,7,11,0,,,,,,,,,3,31,0,0,0
Andi Zeqiri,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Zidane Iqbal,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oleksandr Zinchenko,Defender,27,1,,0,0,1,,,,,,0,,2,"1,716",63.56,2,37,19%,6,62,3,0,6,1,40,45%,8,22,31,24,163,117,69,15,51,20,0,,,,,,,,,2,28,0,0,0
Hakim Ziyech,Midfielder,18,0,0.00,0,0,0,0,0,16,3,19%,0,0,3,316,17.56,6,66,20%,4,14,1,0,12,3,20,60%,8,5,5,1,46,48,50,14,0,5,0
Kurt Zouma,Defender,25,2,,2,0,0,,,,,,0,,0,826,33.04,0,0,0%,0,50,0,0,14,0,9,44%,3,30,118,61,84,73,35,2,56,14,0,,,,,,,,,7,29,0,0,0
Oliwier Zych,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Martin Ødegaard,Midfielder,37,15,0.41,0,2,13,0,0,93,33,35%,0,4,7,"1,689",45.65,14,91,21%,23,56,4,0,30,1,36,64%,33,6,12,3,178,123,157,48,14,20,1,,,,,,,,,,,,,
Leo Østigård,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
