Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Marçal,Defender,18,6,14,42,52%,0,4,28,39,23,0,94,84,75,7,26,18,0,0,0,690,38.33,1,60,17%,0,20,3,0,29,1,0,0,0,0,1,,,,,,,,,,,,,,,
Marcelo Pitaluga,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Solly March,Midfielder,31,,,30,57%,,3,17,23,10,,92,90,113,23,17,26,,0,2,638,20.58,4,94,28%,1,39,1,0,31,12,0,0,0,0,1,0.00,0,0,20,10,50%,1,,,,,,,,
Emiliano Marcondes,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pablo Marí,Defender,2,0,4,5,60%,0,0,3,10,6,0,10,11,7,0,5,3,0,0,0,92,46.00,1,0,0%,0,4,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mario Lemina,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Dilan Markanday,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Filip Marschall,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Anthony Martial,Forward,8,,,0,,,0,0,1,0,,,,,,,,,,0,82,10.25,0,4,,,,0,0,0,2,1,0,1,0,0,0.13,0,0,5,3,60%,2,,,,,,,,
Josh Martin,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Adam Masina,Defender,15,1,26,24,54%,0,1,18,40,28,0,70,66,50,9,29,17,0,0,1,422,28.13,2,30,27%,0,31,0,0,14,0,0,0,0,0,1,,,,,,,,,,,,,,,
Arthur Masuaku,Defender,13,1,12,31,74%,0,1,9,15,11,0,50,61,39,10,16,6,0,0,1,318,24.46,1,23,9%,0,7,1,0,8,0,1,0,0,1,0,,,,,,,,,,,,,,,
Tawanda Maswanhise,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Juan Mata,Midfielder,7,,,6,67%,,2,1,1,0,,22,13,9,3,0,0,,0,0,208,29.71,1,6,33%,1,7,0,0,2,2,0,0,0,0,0,0.00,0,0,5,1,20%,0,,,,,,,,
Jean-Philippe Mateta,Forward,22,,,8,,,5,4,13,9,,,,,,,,,,1,230,10.45,1,6,,,,2,0,16,13,5,2,1,2,0,0.23,0,0,37,18,49%,4,,,,,,,,
Nemanja Matic,Midfielder,23,,,31,58%,,1,31,18,12,,124,79,84,17,28,17,,0,4,"1,039",45.17,4,6,33%,6,51,3,0,26,0,0,0,0,0,0,0.00,0,0,6,1,17%,0,,,,,,,,
Joël Matip,Defender,31,17,21,47,72%,0,9,44,90,50,1,185,175,82,9,109,51,0,0,3,"2,319",74.81,4,1,0%,3,109,2,0,13,0,3,1,2,0,2,,,,,,,,,,,,,,,
Matthew Craig,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Remi Matthews,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Matty Longstaff,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Neal Maupay,Forward,32,,,17,,,17,2,1,0,,,,,,,,,,2,603,18.84,4,8,,,,7,0,33,6,8,0,8,0,0,0.25,1,0,61,15,25%,5,,,,,,,,
Konstantinos Mavropanos,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Luke Mbete,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Bryan Mbeumo,Midfielder,35,,,28,57%,,18,11,14,7,,130,134,234,39,29,105,,0,7,730,20.86,4,75,23%,5,24,4,0,20,13,4,0,0,4,7,0.11,1,0,77,22,29%,9,,,,,,,,
Xavier Mbuyamba,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Reece McAlear,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James McArthur,Midfielder,21,,,33,70%,,4,30,26,15,,135,96,106,21,22,31,,0,3,909,43.29,3,18,33%,3,40,4,0,24,3,0,0,0,0,0,0.00,0,0,9,3,33%,0,,,,,,,,
James McAtee,Midfielder,2,,,0,0%,,0,0,0,0,,1,2,5,1,1,0,,0,0,13,6.50,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Kasey McAteer,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sam McCallum,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Alfie McCalmont,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Liam McCarron,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,2,2.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
James McCarthy,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jon McCracken,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Tom McGill,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
John McGinn,Midfielder,35,,,106,60%,,10,35,28,9,,200,252,176,44,23,17,,0,4,"1,242",35.49,7,110,30%,15,115,8,0,57,0,3,0,0,3,0,0.09,0,0,43,16,37%,1,,,,,,,,
Joseph McGlynn,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael McGovern,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Stuart McKinstry,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,3,3.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kenny McLean,Midfielder,31,,,42,52%,,14,34,51,35,,149,167,155,19,68,72,,0,0,"1,035",33.39,1,37,5%,4,46,3,0,16,3,1,0,0,1,0,0.03,0,0,33,6,18%,1,,,,,,,,
Dwight McNeil,Forward,38,,,78,,,20,35,21,10,,,,,,,,,,1,939,24.71,6,199,,,,1,0,16,1,0,0,0,0,0,0.00,0,0,52,15,29%,3,,,,,,,,
Scott McTominay,Midfielder,30,,,65,51%,,12,31,60,43,,171,201,163,36,68,34,,0,1,"1,233",41.10,1,13,23%,1,56,9,0,55,1,1,0,1,0,1,0.03,0,0,27,7,26%,1,,,,,,,,
Ben Mee,Defender,21,6,25,26,46%,1,3,24,92,51,1,132,105,58,4,68,41,1,0,0,751,35.76,2,4,25%,0,89,3,0,9,2,3,3,0,0,1,,,,,,,,,,,,,,,
Hannibal Mejbri,Midfielder,2,,,2,50%,,0,0,0,0,,1,3,6,1,0,1,,0,0,21,10.50,0,0,0%,0,0,2,0,3,1,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
Édouard Mendy,Goalkeeper,34,14,31,,,,,,,,,,,,,,,0,1,0,802,23.59,,,,,119,3,0,1,,0,,,,,,,,,,,,73,0,11,25,1,19,154,177
Teden Mengi,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Illan Meslier,Goalkeeper,38,5,79,,,,,,,,,,,,,,,0,1,0,"1,115",29.34,,,,,151,2,0,0,,0,,,,,,,,,,,,143,0,18,20,5,22,274,288
Matt Miazga,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Luka Milivojevic,Midfielder,15,,,18,50%,,4,11,15,9,,58,43,29,2,13,6,,0,0,450,30.00,0,43,35%,1,23,1,0,15,0,0,0,0,0,0,0.00,0,0,8,0,0%,0,,,,,,,,
James Milner,Midfielder,24,,,28,57%,,3,17,19,12,,72,57,52,2,13,10,,0,1,702,29.25,2,43,30%,2,27,2,0,17,0,0,0,0,0,0,0.00,0,0,10,2,20%,0,,,,,,,,
Yerry Mina,Defender,13,2,10,12,83%,0,0,11,37,29,1,45,51,25,0,30,16,0,1,0,356,27.38,0,3,33%,0,22,3,0,5,1,0,0,0,0,0,,,,,,,,,,,,,,,
Takumi Minamino,Midfielder,11,,,3,67%,,2,1,2,1,,13,9,24,1,1,5,,0,0,68,6.18,1,0,0%,1,2,1,0,4,0,3,0,3,0,0,0.27,0,0,7,4,57%,0,,,,,,,,
Tyrone Mings,Defender,36,11,49,23,52%,0,5,46,150,71,4,191,139,86,11,83,47,0,1,3,"1,659",46.08,2,4,0%,3,100,11,0,27,1,1,0,1,0,0,,,,,,,,,,,,,,,
Rafa Mir,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyrick Mitchell,Defender,36,10,43,104,55%,1,3,41,83,32,0,237,163,107,16,29,32,0,0,2,"1,493",41.47,2,62,37%,1,65,1,0,16,2,0,0,0,0,0,,,,,,,,,,,,,,,
Kaoru Mitoma,Midfielder,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jan Mlakar,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jakub Moder,Midfielder,28,,,42,60%,,10,10,20,8,,107,90,110,12,25,37,,0,3,760,27.14,5,45,18%,6,12,2,0,19,0,0,0,0,0,4,0.00,0,0,28,6,21%,4,,,,,,,,
Mohamed Elneny,Midfielder,14,,,16,50%,,3,14,11,7,,51,27,20,0,6,6,,0,2,565,40.36,0,0,0%,1,18,1,0,5,0,0,0,0,0,0,0.00,0,0,8,2,25%,0,,,,,,,,
Mohamed Salah,Forward,35,,,17,,,38,6,4,1,,,,,,,,,,13,"1,079",30.83,18,41,,,,1,0,12,12,23,0,4,19,3,0.66,5,0,139,60,43%,17,,,,,,,,
Moisés Caicedo,Midfielder,8,,,16,63%,,4,10,7,2,,56,43,31,7,9,4,,0,1,274,34.25,0,0,0%,1,9,2,0,7,1,1,0,1,0,0,0.13,0,0,10,4,40%,0,,,,,,,,
Jayson Molumby,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jacob Montes,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kris Moore,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Andrew Moran,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pablo Moreno,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Wes Morgan,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
James Morris,Defender,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyler Morton,Midfielder,2,,,0,0%,,0,3,0,0,,5,2,6,0,2,3,,0,0,35,17.50,0,0,0%,0,1,1,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Victor Moses,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Yerson Mosquera,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Louie Moulden,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Mason Mount,Midfielder,32,,,41,39%,,21,13,11,5,,107,88,142,18,6,31,,0,10,"1,115",34.84,10,153,28%,10,21,4,0,30,5,11,0,10,1,3,0.34,1,0,76,29,38%,4,,,,,,,,
Bali Mumba,Defender,1,0,3,1,100%,0,0,0,5,2,0,2,1,2,0,0,1,0,0,0,9,9.00,0,0,0%,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Joel Mumbongo,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Romaine Mundle,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Arijanet Muric,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Glenn Murray,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Charly Musonda,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Yoshinori Muto,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Enock Mwepu,Midfielder,18,,,22,55%,,3,12,16,10,,70,61,85,15,9,29,,0,4,385,21.39,3,7,14%,4,6,2,0,18,2,2,0,2,0,0,0.11,0,0,19,8,42%,3,,,,,,,,
Vitalii Mykolenko,Defender,13,3,17,25,60%,0,1,16,27,13,0,64,47,43,3,10,12,0,0,0,320,24.62,0,41,20%,1,13,0,0,13,0,1,0,0,1,0,,,,,,,,,,,,,,,
Marvelous Nakamba,Midfielder,16,,,32,59%,,0,12,15,6,,82,64,63,14,9,14,,0,0,384,24.00,0,1,0%,1,13,5,0,16,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Richard Nartey,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Marc Navarro,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Wilfred Ndidi,Midfielder,19,,,60,53%,,5,42,52,36,,165,135,116,11,42,32,,0,0,929,48.89,0,1,0%,2,29,4,0,30,1,0,0,0,0,0,0.00,0,0,14,4,29%,0,,,,,,,,
Tanguy Ndombélé,Midfielder,9,,,10,70%,,4,1,1,0,,27,32,40,11,2,1,,0,1,264,29.33,1,3,0%,7,6,1,0,3,0,1,0,1,0,0,0.11,0,0,9,3,33%,0,,,,,,,,
Reiss Nelson,Forward,1,,,1,0%,,1,0,0,0,,2,1,1,0,0,0,,0,0,12,12.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Nélson Semedo,Defender,25,6,18,58,67%,0,5,21,52,22,0,155,136,125,39,15,27,0,0,1,912,36.48,1,32,16%,1,19,1,0,23,4,0,0,0,0,0,,,,,,,,,,,,,,,
Jeremy Ngakia,Defender,16,1,19,31,58%,1,1,12,30,15,0,56,62,56,9,16,18,0,0,0,336,21.00,1,25,16%,1,19,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,
Saúl Ñíguez,Midfielder,10,,,20,45%,,2,7,9,6,,18,30,39,2,8,11,,0,0,325,32.50,0,10,20%,0,13,1,0,9,0,0,0,0,0,0,0.00,0,0,5,1,20%,0,,,,,,,,
Eddie Nketiah,Forward,21,,,9,,,4,4,5,3,,,,,,,,,,1,224,10.67,2,4,,,,3,0,17,5,5,1,2,2,4,0.24,0,0,29,13,45%,3,,,,,,,,
Nicolas Nkoulou,Defender,3,0,2,1,0%,0,0,2,8,4,0,9,4,2,1,2,0,0,0,0,57,19.00,0,0,0%,0,4,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Niels Nkounkou,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Daniel Nlundulu,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Felix Nmecha,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Mark Noble,Midfielder,11,,,8,25%,,0,4,2,1,,38,16,15,3,1,1,,0,0,297,27.00,0,2,0%,0,11,0,0,3,0,1,0,1,0,0,0.09,1,0,2,2,100%,1,,,,,,,,
Mathias Normann,Midfielder,23,,,34,62%,,6,19,40,17,,106,106,110,17,27,15,,0,2,747,32.48,5,34,21%,8,65,6,0,37,1,1,0,0,1,1,0.04,0,0,26,5,19%,0,,,,,,,,
Will Norris,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Nuno Tavares,Defender,22,3,19,21,67%,0,4,9,30,20,0,68,75,84,18,24,22,0,1,1,586,26.64,1,40,23%,0,13,2,0,23,1,1,0,1,0,0,,,,,,,,,,,,,,,
Ørjan Nyland,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Christian Nørgaard,Midfielder,35,,,109,55%,,7,64,56,27,,270,210,205,18,50,68,,0,4,"1,665",47.57,7,13,23%,6,74,8,0,56,0,3,1,1,1,1,0.09,0,0,27,9,33%,4,,,,,,,,
Kane O'Connor,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tommi O'Reilly,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Obafemi,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ademipo Odubeko,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Chituru Odunze,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Odeluga Offiah,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Angelo Ogbonna,Defender,11,3,11,7,57%,0,2,11,26,17,0,45,38,22,1,27,12,0,0,0,474,43.09,0,0,0%,0,17,1,0,5,0,1,1,0,0,0,,,,,,,,,,,,,,,
Mazeed Ogungbo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sheyi Ojo,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jakub Ojrzynski,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Armstrong Oko-Flex,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Arthur Okonkwo,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Maduka Okoye,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Jaakko Oksanen,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kazeem Olaigbe,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Olise,Midfielder,26,,,22,82%,,4,6,6,1,,66,84,104,28,7,17,,0,5,547,21.04,8,96,19%,4,28,4,0,16,1,2,0,0,2,0,0.08,0,1,19,10,53%,0,,,,,,,,
Robin Olsen,Goalkeeper,1,0,3,,,,,,,,,,,,,,,0,0,0,39,39.00,,,,,10,0,0,0,,0,,,,,,,,,,,,2,0,1,5,0,0,7,20
Josh Oluwayemi,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Andrew Omobamidele,Defender,5,0,9,8,75%,0,1,5,13,5,0,29,18,19,0,5,10,0,0,0,227,45.40,0,0,0%,0,14,1,0,3,0,1,1,0,0,0,,,,,,,,,,,,,,,
Tobi Omole,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tyrese Omotoye,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Akos Ónodi,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Tyler Onyango,Midfielder,3,,,0,0%,,1,0,1,0,,0,1,3,0,1,2,,0,0,2,0.67,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Frank Onyeka,Midfielder,20,,,25,68%,,5,14,13,5,,69,76,93,11,16,21,,0,0,313,15.65,0,12,8%,0,11,4,0,33,0,0,0,0,0,1,0.00,0,0,16,5,31%,0,,,,,,,,
Divock Origi,Forward,7,,,0,,,2,1,2,1,,,,,,,,,,0,37,5.29,0,0,,,,0,0,2,0,3,1,0,2,0,0.43,0,0,10,5,50%,0,,,,,,,,
Owen Otasowie,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Salah-Eddine Oulad M'hand,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Aston Oxborough,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,Midfielder,17,,,15,73%,,7,6,5,2,,33,35,48,12,5,12,,0,1,378,22.24,2,26,15%,3,23,0,0,10,2,2,1,0,1,0,0.12,0,0,21,3,14%,0,,,,,,,,
